app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Texture Trainer,texture-trainer,Texture recognition,TT001,,Foundation,multiple-choice,1,Name the texture.,Monophonic,Monophonic | Homophonic | Polyphonic,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line,modules/texture-trainer/../instrument-identifier/audio/II201.mp3,yes,,,,,,Monophonic,Foundation,,"J. S. Bach — Partita in A minor for solo flute, BWV 1013",,Scott Goff,MusOpen,PD,
Texture Trainer,texture-trainer,Texture recognition,TT007,,Foundation,multiple-choice,1,Identify the texture in this extract.,Monophonic,Monophonic | Homophonic | Polyphonic,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line,modules/texture-trainer/audio/TT007.mp3,yes,,,,,,Monophonic,Foundation,,"J. S. Bach — Cello Suite No. 1 in G major, BWV 1007: Prelude",,John Michel,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Prelude.ogg,CC BY-SA 3.0 (verify on source page before release),One unaccompanied cello line; register changes do not create separate simultaneous parts.
Texture Trainer,texture-trainer,Texture recognition,TT008,,Foundation,multiple-choice,1,Identify the texture in this extract.,Monophonic,Monophonic | Homophonic | Polyphonic,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line,modules/texture-trainer/audio/TT008.mp3,yes,,,,,,Monophonic,Foundation,,"J. S. Bach — Partita in A minor for solo flute, BWV 1013",,Scott Goff,https://commons.wikimedia.org/wiki/File:Jsbach_BWV_1013.ogg,CC BY-SA 2.0,Review note: skip the opening buzz before the flute line begins.
Texture Trainer,texture-trainer,Texture recognition,TT009,,Developing,multiple-choice,1,Identify the texture in this extract.,Melody and accompaniment,Melody and accompaniment | Polyphonic | Monophonic | Chordal,homophonic | melody dominated homophony | melody-dominated homophony | melody and accompaniment | melody with accompaniment | tune with accompaniment | tune with backing | melody with backing | main melody with chords | accompanied melody | main tune with chords | solo melody with accompaniment,modules/texture-trainer/audio/TT009.mp3,yes,,,,,,Homophonic,Developing,,"L. van Beethoven — Piano Sonata No. 14 ‘Moonlight’, movement I",,Paul Pitman,"https://commons.wikimedia.org/wiki/File:Ludwig_van_Beethoven_-_sonata_no._14_in_c_sharp_minor_'moonlight',_op._27_no._2_-_i._adagio_sostenuto.ogg",Public-domain mark on Commons/Musopen source page; re-check before release,A prominent upper melody is supported by repeated accompaniment and bass notes.
Texture Trainer,texture-trainer,Texture recognition,TT010,,Foundation,multiple-choice,1,Identify the texture in this extract.,Homophonic,Homophonic | Polyphonic | Monophonic,homophonic | chordal | homorhythmic | homorhythm | block chords | same rhythm | moving together | parts move together | harmony moves together | voices move together | all parts move together,modules/texture-trainer/audio/TT010.mp3,yes,,,,,,Homophonic,Foundation,,"F. Chopin — Prelude in C minor, Op. 28 No. 20",,Ivan Ilić,"https://commons.wikimedia.org/wiki/File:Chopin_-_Preludes,_Op._28_-_No._20_'Funeral_march'.ogg",CC BY 3.0,The parts move together in a mainly chordal rhythm.
Texture Trainer,texture-trainer,Texture recognition,TT011,,Developing,multiple-choice,1,Identify the texture in this extract.,Fugal,Fugal | Homophonic | Monophonic | Unison,fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices,modules/texture-trainer/audio/TT011.mp3,yes,,,,,,Fugal polyphony,Developing,,"J. S. Bach — Fugue in D major, BWV 850",,See source page,https://commons.wikimedia.org/wiki/File:Fugue_DMajor_BWV850.ogg,Check the current licence statement on the source page,Independent lines overlap and imitate the fugue subject.
Texture Trainer,texture-trainer,Texture recognition,TT012,,Securing,multiple-choice,1,Identify the texture in this extract.,Imitative texture,Imitative texture | Homophonic | Monophonic | Unison,polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation,modules/texture-trainer/audio/TT012.mp3,yes,,,,,,Polyphonic,Securing,,"J. S. Bach — Brandenburg Concerto No. 5, movement III",,See source page,https://commons.wikimedia.org/wiki/File:Bach_-_Brandenburg_Concerto_5_-_3._Allegro.ogg,Check the current licence statement on the source page,Several independent instrumental lines overlap in imitation.
Texture Trainer,texture-trainer,Texture recognition,TT013,,Securing,short-text,2,Identify the texture at the start of the extract and describe how it changes. (2),Monophonic then fugal polyphony,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added,modules/texture-trainer/audio/TT013.mp3,yes,,,,,,Monophonic → polyphonic,Securing,,"J. S. Bach — Fugue in D major, BWV 850",,See source page,https://commons.wikimedia.org/wiki/File:Fugue_DMajor_BWV850.ogg,Check the current licence statement on the source page,"The subject begins alone, followed by successive entries in other voices."
Texture Trainer,texture-trainer,Texture recognition,TT014,,Mastering,extended-text,2,Identify the texture at the start of the extract and describe how it changes. (2),Monophonic then fugal polyphony,,monophonic | single unaccompanied melodic line | single melodic line | one melodic line | one melody | one line | one part | solo line | solo melody | unaccompanied melody | unaccompanied melodic line | a single melody | a single melodic line | fugue | fugal | fugal writing | fugal imitation | fugal texture | imitative polyphony | subject entries | answer entries | subject and answer entries | subject enters successively | voices enter successively | polyphonic | contrapuntal | counterpoint | independent parts | independent melodies | several melodies at once | several melodies | multiple melodies | different melodies at the same time | interweaving melodies | overlapping melodies | imitative | imitation | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added | independent vocal lines | independent voices | independent subject entries | overlapping subject entries | overlapping voices | texture thickens | thickens | gets thicker | becomes thicker | the texture becomes thicker | thicker texture | more instruments enter | more parts enter | more orchestral parts | parts are added | parts enter | layers added | layers are added | more layers | fuller texture | full ensemble | tutti | builds up | the texture builds up | chords are added,modules/texture-trainer/audio/TT014.mp3,yes,,,,,,Monophonic → polyphonic,Mastering,,"J. S. Bach — Brandenburg Concerto No. 5, movement III",,See source page,https://commons.wikimedia.org/wiki/File:Bach_-_Brandenburg_Concerto_5_-_3._Allegro.ogg,Check the current licence statement on the source page,A single fugal entry is followed by further subject entries.
Texture Trainer,texture-trainer,Texture recognition,TT015,,Mastering,extended-text,2,Describe two ways the texture changes during the extract. (2),Canon,,texture thins | thins | gets thinner | becomes thinner | lighter texture | the texture becomes lighter | fewer parts play | fewer parts | fewer instruments | solo violin | solo instrument | solo line | solo becomes prominent | solo violin becomes prominent | homophonic | melody dominated homophony | melody-dominated homophony | melody and accompaniment | melody with accompaniment | tune with accompaniment | tune with backing | melody with backing | main melody with chords | accompanied melody | main tune with chords | solo melody with accompaniment | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries | texture thins | thins | gets thinner | becomes thinner | lighter texture | the texture becomes lighter | fewer parts play | fewer parts | fewer instruments | solo violin | solo instrument | solo line | solo becomes prominent | solo violin becomes prominent | homophonic | melody dominated homophony | melody-dominated homophony | melody and accompaniment | melody with accompaniment | tune with accompaniment | tune with backing | melody with backing | main melody with chords | accompanied melody | main tune with chords | solo melody with accompaniment | imitative | imitation | canon | canon like | canon-like | one part copies another | one part imitates another | repeated by another part | copied between parts | the melody is copied | successive entries | subject entries,modules/texture-trainer/audio/TT015.mp3,yes,,,,,,Thick homophony → lighter solo texture,Mastering,,"A. Vivaldi — The Four Seasons: Spring, movement I",,"John Harrison, violin; ensemble listed on source page",https://commons.wikimedia.org/wiki/File:Vivaldi_-_Four_Seasons_1_Spring_mvt_1_Allegro_-_John_Harrison_violin.oga,Free recording with permission recorded on Commons; verify exact terms,Review note: skip the crackly lead-in before the excerpt starts.
