Question Set,Question ID,Question Number,Prompt,Marks,Response Type,Correct Answer,Cambridge Requirement IDs,Skill Tags,Recommended EchoAural Module,Module Path,Route Status,Progression Focus
EXL017,EXL017-Q01,1,From which continent is this music most closely associated?,1,Multiple choice,Africa,CAM-EX-03; CAM-EX-12,world region; Africa; context; tradition,Context & Style,#,Planned,locating African traditions
EXL017,EXL017-Q02,2,Which family of instruments is most prominent?,1,Multiple choice,Percussion,CAM-EX-03; CAM-INS-01,instrument family; percussion; African music; ensemble,Instrument Identifier,../instrument-identifier/index.html,Live,identifying percussion-led African textures
EXL017,EXL017-Q03,3,Describe one feature of the rhythm.,1,Short text,Polyrhythm / cross-rhythm / interlocking patterns,CAM-EX-03,rhythm; polyrhythm; cross-rhythm; African music,Meter Master,../meter-master/index.html,Live,describing African rhythmic patterns
EXL017,EXL017-Q04,4,Describe the texture.,1,Short text,Layered / polyphonic / interlocking,CAM-EX-03,texture; layering; polyrhythm; African music,Texture Trainer,../texture-trainer/index.html,Live,describing layered African textures
EXL017,EXL017-Q05,5,Which term best describes the relationship between some rhythmic parts?,1,Multiple choice,Interlocking,CAM-EX-03,interlocking; texture; ensemble relationship; African music,Texture Trainer,../texture-trainer/index.html,Live,recognising interlocking rhythmic parts
EXL017,EXL017-Q06,6,Describe the timbre of the percussion.,1,Short text,Dry / sharp / resonant / hand-struck,CAM-EX-03,timbre; percussion; African music; drums,Instrument Identifier,../instrument-identifier/index.html,Live,describing African percussion timbres
EXL017,EXL017-Q07,7,Name one type of drum or percussion heard.,1,Short text,Djembe / hand drum / percussion,CAM-EX-03; CAM-INS-01,instrument identification; drums; percussion; African music,Instrument Identifier,../instrument-identifier/index.html,Live,naming African percussion
EXL017,EXL017-Q08,8,Describe one change which takes place during the extract.,1,Short text,A layer is added or removed / texture or dynamics change,CAM-EX-03,change recognition; texture; dynamics; structure,Texture Trainer,../texture-trainer/index.html,Live,describing audible changes in African percussion
EXL017,EXL017-Q09,9,Which time signature is most likely?,1,Multiple choice,Simple time,CAM-EX-03,metre; time signature; simple time; African music,Meter Master,../meter-master/index.html,Live,identifying metres in African music
EXL017,EXL017-Q10,10,Give one feature typical of African percussion music.,1,Short text,Polyrhythm / interlocking rhythms / call and response,CAM-EX-03; CAM-EX-12,African music; genre features; percussion; rhythm,Context & Style,#,Planned,recognising African genre features
EXL017,EXL017-Q11,11,Choose the most suitable style for this extract.,1,Multiple choice,African percussion music,CAM-EX-03; CAM-EX-12,style recognition; African music; genre; context,Context & Style,#,Planned,matching extracts to world styles
