app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Meter Master,meter-master,Meter recognition,MMX001,MTR001,Foundation,single choice,1,Is the metre simple or compound? (1),Simple,Simple | Compound,simple,modules/meter-master/audio/MTR001.mp3,yes,,,,,,Aural classification,Simple triple,,,,,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,,"Simple. (1) In 3/4, each crotchet beat normally divides into two quavers."
Meter Master,meter-master,Meter recognition,MMX002,MTR002,Foundation,single choice,1,Is the metre simple or compound? (1),Simple,Simple | Compound,simple,modules/meter-master/audio/MTR002.mp3,yes,,,,,,Aural classification,Simple duple,,,,,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,,Simple. (1) Each crotchet beat divides into two quavers.
Meter Master,meter-master,Meter recognition,MMX003,MTR003,Foundation,multiple choice,1,Which term best describes the metre? (1),Simple triple,Compound triple | Compound duple | Simple triple | Simple duple,simple triple,modules/meter-master/audio/MTR003.mp3,yes,,,,,,Aural classification,Simple triple,,,,,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,,Simple triple. (1) 3/4 has three crotchet beats and simple subdivision.
Meter Master,meter-master,Meter recognition,MMX004,MTR004,Foundation,multiple choice,1,"Is this metre duple, triple or quadruple? (1)",Duple,Quadruple | Duple | Irregular | Triple,duple | simple duple,modules/meter-master/audio/MTR004.mp3,yes,,,,,,Aural classification,Simple duple,,,,,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,,Duple. (1) There are two main crotchet beats.
Meter Master,meter-master,Meter recognition,MMX005,MTR005,Foundation,single choice,1,Is the metre simple or compound? (1),Simple,Compound | Simple,simple,modules/meter-master/audio/MTR005.mp3,yes,,,,,,Aural classification,Simple duple,,,,,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,,Simple. (1) Each minim beat divides into two crotchets.
Meter Master,meter-master,Meter recognition,MMX006,MTR006,Foundation,single choice,1,Is the metre simple or compound? (1),Compound,Compound | Simple,compound,modules/meter-master/audio/MTR006.mp3,yes,,,,,,Aural classification,Compound duple,,,,,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,,Compound. (1) Each main beat divides into three quavers.
Meter Master,meter-master,Meter recognition,MMX007,MTR007,Developing,numeric,1,How many beats are there in each bar? (1),2,2 | 3 | 4 | 5,2 | two,modules/meter-master/audio/MTR007.mp3,yes,,,,,,Pulse analysis,Simple duple,,,,,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,,Two beats. (1) The extract is organised into two crotchet beats per bar.
Meter Master,meter-master,Meter recognition,MMX008,MTR008,Developing,numeric,1,How many main beats are heard in each bar? (1),3,5 | 4 | 3 | 2,3 | three,modules/meter-master/audio/MTR008.mp3,yes,,,,,,Pulse analysis,Simple triple,,,,,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,,Three main beats. (1) The three main beats are crotchet beats.
Meter Master,meter-master,Meter recognition,MMX009,MTR009,Foundation,single choice,1,Is the metre simple or compound? (1),Simple,Simple | Compound,simple,modules/meter-master/audio/MTR009.mp3,yes,,,,,,Aural classification,Simple quadruple,,,,,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,,Simple. (1) Each crotchet beat normally divides into two quavers.
Meter Master,meter-master,Meter recognition,MMX010,MTR010,Foundation,multiple choice,1,"Is this metre duple, triple or quadruple? (1)",Duple,Irregular | Duple | Triple | Quadruple,duple | compound duple,modules/meter-master/audio/MTR010.mp3,yes,,,,,,Aural classification,Compound duple,,,,,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,,Duple. (1) 6/8 has two main dotted-crotchet beats.
