Question ID,Audio ID,Audio Path,Source ID,Question,Options,Correct Answer,Accepted Answers,Marks,Response Type,Feedback / Teaching Point,Difficulty,Composer,Work,Instrument,Source / Provider,Licence Type,Review Status
MDV001,MDA001,audio/melodic-devices/MDA001.mp3,MM001,Describe the movement of the melody in this extract. (2),,"It begins with broken-chord or arpeggio movement, then moves by step in a scale.",broken chord then scale; arpeggio then scalic; triadic then stepwise,2,Written response,The opening outlines a chord; the later melody moves by step through a scale.,Mastering,Mozart,"Piano Sonata no. 16 in C major 'Facile', K. 545",,Existing EchoAural Melody Master,PDM 1.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV002,MDA002,audio/melodic-devices/MDA002.mp3,MM002,Which option best describes the melody in this extract?,Sequence | Ostinato | Imitation | Repetition,Sequence,Sequence,1,Multiple choice,A melodic idea is repeated starting on a different pitch.,Developing,Mozart,"Piano Sonata no. 11 in A major, K. 331",,Existing EchoAural Melody Master,PDM 1.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV005,MDA005,audio/melodic-devices/MDA005.mp3,MM012,Which option best describes the melody in this extract?,In leaps | By step | Scalic | Ostinato,In leaps,In leaps,1,Multiple choice,"The melody moves mainly in leaps, creating a disjunct outline.",Developing,Mussorgsky,Pictures at an Exhibition,,Existing EchoAural Melody Master,CC BY 3.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV008,MDA008,audio/melodic-devices/MDA008.mp3,MM015,Which option best describes the melody in this extract?,Ascending | Descending | Scalic | Static,Ascending,Ascending,1,Multiple choice,The melody moves upwards in pitch.,Foundation,Beethoven,"Symphony no. 6 in F major, Op. 68 'Pastoral'",,Existing EchoAural Melody Master,PDM 1.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV013,MDA013,audio/melodic-devices/MDA013.mp3,MTR005,Which option best describes the melody in this extract?,Descending sequence | Ascending sequence | Ostinato | Imitation,Descending sequence,Descending sequence,1,Multiple choice,The repeated melodic pattern begins successively lower in pitch.,Securing,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV016,MDA016,audio/melodic-devices/MDA016.mp3,MTR008,Which option best describes the melody in this extract?,Ascending | Descending | Ostinato | Static,Ascending,Ascending,1,Multiple choice,The melody moves upwards in pitch; there is no clear ostinato.,Developing,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV018,MDA018,audio/melodic-devices/MDA018.mp3,MTR010,Which option best describes the melody in this extract?,Ostinato | Sequence | Imitation | Repetition,Ostinato,Ostinato,1,Multiple choice,A short melodic pattern is repeated persistently at the start.,Developing,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV020,MDA020,audio/melodic-devices/MDA020.mp3,MTR012,Which option best describes the melody in this extract?,Ostinato | Sequence | Imitation | Repetition,Ostinato,Ostinato,1,Multiple choice,A short melodic pattern is repeated persistently.,Securing,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV025,MDA025,audio/melodic-devices/MDA025.mp3,MTR017,Which option best describes the melody in this extract?,In leaps | By step | Scalic | Ostinato,In leaps,In leaps,1,Multiple choice,"The melody moves mainly in leaps, creating a disjunct outline.",Securing,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV027,MDA027,audio/melodic-devices/MDA027.mp3,MTR019,Which option best describes the melody in this extract?,Scalic | Broken chord | Chromatic | In leaps,Scalic,Scalic,1,Multiple choice,The melody moves mainly by step through the notes of a scale.,Developing,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV028,MDA028,audio/melodic-devices/MDA028.mp3,MTR020,Which option best describes the melody in this extract?,Scalic | Broken chord | Repetition | Imitation,Scalic,Scalic,1,Multiple choice,The melody moves mainly by step through the notes of a scale.,Developing,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV037,MDA037,audio/melodic-devices/MDA037.mp3,MTR029,Which option best describes the melody in this extract?,Ascending sequence | Descending sequence | Ostinato | Imitation,Ascending sequence,Ascending sequence,1,Multiple choice,The melodic idea is repeated successively higher in pitch.,Securing,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV039,MDA039,audio/melodic-devices/MDA039.mp3,TEX01,Which option best describes the melody in this extract?,Broken chord | Scalic | Repetition | Imitation,Broken chord,Broken chord,1,Multiple choice,The melody outlines the notes of chords one after another.,Foundation,J. S. Bach,"Cello Suite No. 1 in G major, BWV 1007: Prelude",,Wikimedia Commons / European free-media archive,CC BY-SA 3.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV040,MDA040,audio/melodic-devices/MDA040.mp3,MM016,Identify the ornament used in this extract.,Trill | Mordent | Turn | Acciaccatura,Turn,Turn,1,Multiple choice,The sideways S-shaped ornament sign in the score indicates a turn around the written note.,Foundation,Frédéric Chopin,"Nocturne in E-flat major, Op. 9 No. 2",Piano,Local MM Audio Library,Public Domain / local MM library,Score and audio share the MM016 source excerpt; the turn is printed clearly in the supplied score.
MDV023,MDA023,audio/melodic-devices/MDA023.mp3,MTR015,Which option best describes the melody in this extract?,Ostinato | Sequence | Imitation | Repetition,Ostinato,Ostinato,1,Multiple choice,A short melodic pattern is repeated persistently after the opening gesture.,Securing,Edvard Grieg,"Peer Gynt Suite No. 1, Op. 46",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Reviewed and recut for the ostinato on 2026-08-06.
MDV004,MDA004,audio/melodic-devices/MDA004.mp3,MM011,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Foundation,Mozart,"Piano Concerto no. 17 in G major, K. 453",,Existing EchoAural Melody Master,PDM 1.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV006,MDA006,audio/melodic-devices/MDA006.mp3,MM013,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Foundation,Haydn,"Symphony no. 94 in G major 'Surprise', Hob. I:94",,Existing EchoAural Melody Master,PDM 1.0,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV011,MDA011,audio/melodic-devices/MDA011.mp3,MTR003,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Developing,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV026,MDA026,audio/melodic-devices/MDA026.mp3,MTR018,Which melodic device is most clearly heard in this extract?,Ornamentation | Ostinato | Sequence | Repeated notes,Ornamentation,Ornamentation,1,Multiple choice,The melody is decorated with additional notes or embellishments.,Securing,Joseph Haydn,"String Quartet in D major, Hob.III:63, Op.64 No.5 ‘The Lark’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV029,MDA029,audio/melodic-devices/MDA029.mp3,MTR021,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Developing,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV030,MDA030,audio/melodic-devices/MDA030.mp3,MTR022,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Developing,Felix Mendelssohn,"Symphony No. 4 in A major, Op. 90 ‘Italian’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV033,MDA033,audio/melodic-devices/MDA033.mp3,MTR025,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Developing,W. A. Mozart,"Symphony No. 40 in G minor, K.550",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV038,MDA038,audio/melodic-devices/MDA038.mp3,MTR030,Which melodic device is most clearly heard in this extract?,Repeated notes | Sequence | Imitation | Arpeggio,Repeated notes,Repeated notes,1,Multiple choice,The same pitch is heard several times consecutively.,Developing,Pyotr Ilyich Tchaikovsky,"Symphony No. 6 in B minor, Op. 74 ‘Pathétique’",,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Required before production release. Confirm that the named device is the most prominent melodic feature in the completed 11-second cut.
MDV034,MDA034,audio/melodic-devices/MDA034.mp3,MTR026,Which option best describes the melody in this extract?,Chromatic | Melismatic | Triadic | Pentatonic,Chromatic,Chromatic,1,Multiple choice,"The melody includes notes outside the prevailing diatonic scale, producing chromatic movement.",Securing,Wolfgang Amadeus Mozart,"Symphony No. 40 in G minor, K. 550",Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Restored and answer choices revised on 2026-08-06.
MDV041,MDA041,audio/melodic-devices/MDA041.mp3,II225,Identify the ornament used in this extract.,Trill | Mordent | Turn | Acciaccatura,Trill,Trill,1,Multiple choice,A rapid alternation between the main note and the note above creates a trill.,Developing,CPE Bach,Flute Sonata H562 (1),FLUTE,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV042,MDA042,audio/melodic-devices/MDA042.mp3,II335,Describe the melodic device used in this extract. (2),,Descending sequence,Descending sequence,2,Written response,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Fasch,Sonata in C major WP4,TROMBONE,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV043,MDA043,audio/melodic-devices/MDA043.mp3,II340,Describe the melodic device used in this extract. (2),,Ascending sequence,Ascending sequence,2,Written response,"The melodic pattern is repeated at different pitch levels, moving upwards.",Securing,Fasch,Sonata in C major WP4,TROMBONE,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV044,MDA044,audio/melodic-devices/MDA044.mp3,II341,Describe the melodic device used in this extract. (2),,Descending sequence,Descending sequence,2,Written response,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Fasch,Sonata in C major WP4,TROMBONE,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV045,MDA045,audio/melodic-devices/MDA045.mp3,II344,Describe the melodic device used in this extract. (2),,Descending sequence,Descending sequence,2,Written response,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Vivaldi,Sonata No. 31 RV476,BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV046,MDA046,audio/melodic-devices/MDA046.mp3,II352,Describe the melodic device used in this extract. (2),,Descending sequence,Descending sequence,2,Written response,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Vivaldi,Sonata No. 31 RV476,BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV047,MDA047,audio/melodic-devices/MDA047.mp3,II355,Which melodic device is most clearly used in this extract?,Descending sequence | Ascending sequence | Ostinato | Imitation,Descending sequence,Descending sequence,1,Multiple choice,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Mozart,Concerto No. 4,BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV048,MDA048,audio/melodic-devices/MDA048.mp3,II356,Identify the ornament used in this extract.,Trill | Mordent | Turn | Acciaccatura,Trill,Trill,1,Multiple choice,A rapid alternation between the main note and the note above creates a trill.,Developing,Mozart,Concerto No. 4,BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV049,MDA049,audio/melodic-devices/MDA049.mp3,II359,Which melodic device is most clearly used in this extract?,Descending sequence | Ascending sequence | Ostinato | Imitation,Descending sequence,Descending sequence,1,Multiple choice,"The melodic pattern is repeated at different pitch levels, moving downwards.",Developing,Mozart,Concerto No. 4 (2),BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV050,MDA050,audio/melodic-devices/MDA050.mp3,II366,Which melodic device is most clearly used in this extract?,Ascending sequence | Descending sequence | Ostinato | Imitation,Ascending sequence,Ascending sequence,1,Multiple choice,"The melodic pattern is repeated at different pitch levels, moving upwards.",Developing,Vivaldi,Concerto for Bassoon (2),BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV051,MDA051,audio/melodic-devices/MDA051.mp3,II367,Which melodic device is most clearly used in this extract?,Descending sequence | Ascending sequence | Ostinato | Imitation,Descending sequence,Descending sequence,1,Multiple choice,"The melodic pattern is repeated at different pitch levels, moving downwards.",Developing,Vivaldi,Concerto for Bassoon (3),BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV052,MDA052,audio/melodic-devices/MDA052.mp3,II369,Which melodic device is most clearly used in this extract?,Descending sequence | Ascending sequence | Ostinato | Imitation,Descending sequence,Descending sequence,1,Multiple choice,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Vivaldi,Concerto for Bassoon (3),BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV053,MDA053,audio/melodic-devices/MDA053.mp3,II370,Describe the melodic device used in this extract. (2),,Descending sequence,Descending sequence,2,Written response,"The melodic pattern is repeated at different pitch levels, moving downwards.",Securing,Vivaldi,Concerto for Bassoon (3),BASSOON,MusOpen,PD,Approved in MM Devices review on 2026-08-06.
MDV054,MDA054,audio/melodic-devices/MDA054.mp3,MEL-001,How is the main melody constructed across the extract?,A short looped phrase with small variation | A long through-composed melody | A twelve-bar blues melody | An improvised free melody,A short looped phrase with small variation,A short looped phrase with small variation,1,Multiple choice,"The melody is a short phrase, looped and repeated with small variation each time.",Developing,,Coin Crash Circuit,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV055,MDA055,audio/melodic-devices/MDA055.mp3,MEL-002,"Describe the melodic shape of the main hook (mostly stepwise, or with leaps/octave jumps?).",,It combines short stepwise runs with occasional octave leaps/jumps for excitement.,It combines short stepwise runs with occasional octave leaps/jumps for excitement.,2,Written response,The hook mixes short stepwise runs with occasional octave leaps for excitement.,Mastering,,Coin Crash Circuit,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV056,MDA056,audio/melodic-devices/MDA056.mp3,MEL-003,What compositional device is most responsible for the memorable character of this melody?,Repetition | Sequence | Ostinato | Imitation,Repetition,Repetition,1,Multiple choice,"The catchy loop is repeated throughout, making it memorable.",Developing,,Coin Crash Circuit,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV057,MDA057,audio/melodic-devices/MDA057.mp3,MEL-006,"What term describes a short recurring melodic idea associated with a character or scene, as used here?",Leitmotif | Ostinato | Sequence | Cadence,Leitmotif,Leitmotif,1,Multiple choice,A leitmotif is a short recurring melodic idea linked to a character or scene.,Developing,,Iron Crown Clash,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV058,MDA058,audio/melodic-devices/MDA058.mp3,MEL-007,Which of the following best describes the melodic shape of the string melody?,Starts ascending in leaps then moves by step | Starts descending in leaps then moves by step | Entirely repeated notes | A descending scale throughout,Starts ascending in leaps then moves by step,Starts ascending in leaps then moves by step,1,Multiple choice,The melody opens with ascending leaps before settling into stepwise movement.,Securing,,Skybound Compass,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV059,MDA059,audio/melodic-devices/MDA059.mp3,MEL-011,"Describe the melodic shape of the main hook (mostly stepwise, or with leaps/octave jumps?).",,"It combines short stepwise runs with occasional octave leaps/jumps for excitement, especially at louder repeats of the loop.","It combines short stepwise runs with occasional octave leaps/jumps for excitement, especially at louder repeats of the loop.",2,Written response,The hook mixes short stepwise runs with occasional octave leaps for excitement.,Securing,,Pixel Bounce,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV060,MDA060,audio/melodic-devices/MDA060.mp3,MEL-013,Which of the following options best describes the melody in this extract?,"A repeated short riff/ostinato | A long, continuously developing melody | A folk song melody | A twelve-bar blues melody",A repeated short riff/ostinato,A repeated short riff/ostinato,1,Multiple choice,The hook is a short pattern repeated throughout — a riff/ostinato.,Developing,,Mirror Ball Loop,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV061,MDA061,audio/melodic-devices/MDA061.mp3,MEL-015,What compositional device is used when the same short melodic/rhythmic idea repeats throughout the extract?,Looping | Repetition | Ostinato | Sequence,Looping,Looping,1,Multiple choice,The same short idea is looped continuously throughout the extract.,Developing,,Mirror Ball Loop,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV062,MDA062,audio/melodic-devices/MDA062.mp3,MEL-018,What compositional device is used when the same short melodic/rhythmic idea repeats throughout the extract?,Ostinato | Sequence | Imitation | Syncopation,Ostinato,Ostinato,1,Multiple choice,A short pattern is repeated persistently throughout — an ostinato.,Developing,,Midnight Tape Run,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV063,MDA063,audio/melodic-devices/MDA063.mp3,MEL-025,Identify two melodic features in the chorus which help define it as the chorus.,,"A simpler, more singable melodic hook with backing-vocal answering phrases and a higher, more sustained register than the verse.","A simpler, more singable melodic hook with backing-vocal answering phrases and a higher, more sustained register than the verse.",2,Written response,"The chorus has a simpler, more singable hook in a higher register, with backing vocals answering the lead.",Mastering,,Open the Doors,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV064,MDA064,audio/melodic-devices/MDA064.mp3,MEL-026,Which of the following best represents the word-setting in the following extract?,Mainly syllabic | Mainly melismatic | Entirely spoken | Entirely melismatic,Mainly syllabic,Mainly syllabic,1,Multiple choice,Most syllables are set to a single note each — mainly syllabic word-setting.,Developing,,Open the Doors,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV065,MDA065,audio/melodic-devices/MDA065.mp3,MEL-029,Does the melodic material move mainly by step or by leap?,"Mainly by leap, with some stepwise movement | Mainly by step, with occasional leaps | Entirely by step | Entirely repeated notes","Mainly by leap, with some stepwise movement","Mainly by leap, with some stepwise movement",1,Multiple choice,"The melody moves mainly by leap, with some stepwise movement connecting phrases.",Securing,,Light Breaks Through the Glass,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
MDV066,MDA066,audio/melodic-devices/MDA066.mp3,MEL-034,Is the word-setting in this extract mainly syllabic or melismatic?,"Entirely syllabic | Mainly syllabic, with melisma on key words | Entirely melismatic | Spoken, not sung",Entirely syllabic,Entirely syllabic,1,Multiple choice,Every syllable is set to a single note — entirely syllabic word-setting.,Developing,,Thread of Glass,,Suno (AI-generated) — reviewed for GCSE/IGCSE listening use,Original commission for EchoAural,Approved in Melody Master new-content review on 2026-08-09.
