question_id,concept_code,element,subskill,level,level_order,introduced_at_level,question_type,marks,shuffle_options,term,symbol_display,term_type,meaning,cie_status,cie_requirement,cambridge_source_page,source_url,prompt,options,correct_answer,accepted_answers,mark_scheme,feedback,common_confusions,visual_asset,visual_kind,requires_score_context,score_context_template,audio_required,eligible_modes,progress_skill_code,teacher_tags,status,notes,audio_file,force_text_options
SS-BINARY-F,STR-BINARY,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,binary form,,whole_form,"a structure in two contrasting sections, A and B, usually each repeated",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents binary form?,A – B | A – B – A | A – B – C | A – B – A – C,A – B,A – B,A – B. (1),"Correct — binary form has two sections, A and B, often each repeated (AABB), with B usually moving away from and then back toward the home key.",ternary|strophic,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-BINARY.mp3,
SS-BINARY-D,STR-BINARY,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,binary form,A – B,whole_form,"a structure in two contrasting sections, A and B, usually each repeated",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Binary form | Ternary form | Rondo form | Theme and variations,binary form,binary form,binary form. (1),"Correct — two sections only, A then B, is binary form.",ternary|strophic,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-BINARY.mp3,
SS-BINARY-S,STR-BINARY,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,binary form,A – B,whole_form,"a structure in two contrasting sections, A and B, usually each repeated",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,binary,binary|binary form|bianry|binery,1 mark for the correct term: binary.,"Binary form: two contrasting sections (A, B), each often repeated, common in Baroque dance movements.",ternary|strophic,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-BINARY.mp3,
SS-BINARY-M,STR-BINARY,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,binary form,,whole_form,"a structure in two contrasting sections, A and B, usually each repeated",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Many Baroque dance movements (e.g. in a suite) are in binary form. Name ONE way the B section is typically related to the A section, and describe what happens harmonically at the end of the A section.",,B section develops/varies ideas from A; A section usually ends with a modulation to a related key (e.g. the dominant).,develops ideas from a|modulates to the dominant|related key,"1 mark for a valid relationship between A and B (e.g. B uses similar material, or contrasts in key); 1 mark for correctly describing the A section's harmonic goal (modulates away from the tonic, often to the dominant).","In binary form, the A section usually modulates away from the home key (often to the dominant), and B works with related material before the music returns home.",ternary|strophic,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-TERNARY-F,STR-TERNARY,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,ternary form,,whole_form,"a structure in three sections, where the third repeats or restates the first (A B A)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents ternary form?,A – B | A – B – A | A – B – C – A | A – A – A,A – B – A,A – B – A,A – B – A. (1),"Correct — ternary form is A B A: an opening section, a contrasting middle section, then a return of the opening.",binary|rondo|minuet and trio,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-TERNARY.mp3,
SS-TERNARY-D,STR-TERNARY,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,ternary form,A – B – A,whole_form,"a structure in three sections, where the third repeats or restates the first (A B A)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Ternary form | Binary form | Rondo form | Through-composed,ternary form,ternary form,ternary form. (1),"Correct — an opening idea, a contrasting middle, then the opening idea returning, is ternary form.",binary|rondo|minuet and trio,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-TERNARY.mp3,
SS-TERNARY-S,STR-TERNARY,Classical Forms,whole-piece-forms,Securing,3,Foundation,short_answer,1,No,ternary form,A – B – A,whole_form,"a structure in three sections, where the third repeats or restates the first (A B A)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Describe this structure — what is it called?,,ternary,ternary|ternary form|trinary,1 mark for the correct term: ternary.,"Ternary form: three sections, A B A — the closing A can be an exact repeat or a varied return.",binary|rondo|minuet and trio,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | securing,active,,audio/SS-TERNARY.mp3,
SS-TERNARY-M,STR-TERNARY,Classical Forms,whole-piece-forms,Mastering,4,Foundation,exam_style_short_answer,2,No,ternary form,,whole_form,"a structure in three sections, where the third repeats or restates the first (A B A)",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,"Ternary form (A B A) is used across many genres and eras. Describe ONE way the returning A section might differ from the opening A section, and explain why a composer might choose to vary it rather than repeat it exactly.",,"The return may be varied/ornamented, in a different register, or reorchestrated; composers vary it to avoid monotony or to bring the material to a satisfying conclusion.",varied|ornamented|different instrumentation|avoid repetition being dull,"1 mark for a valid way the return can differ (varied, ornamented, reorchestrated, extended); 1 mark for a valid musical reason (keeps interest, provides new perspective on the material, allows a satisfying close).",A varied return (sometimes called A′) keeps ternary form's recognisable shape while avoiding a note-for-note repeat feeling static.,binary|rondo|minuet and trio,,text,No,,No,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | mastering,dropped,,,
SS-MINUET-F,STR-MINUET,Classical Forms,whole-piece-forms,Foundation,1,Foundation,multiple_choice,1,Yes,minuet and trio,,whole_form,"a Classical-era dance movement in triple time: a minuet, then a contrasting trio (often with fewer instruments), then the minuet repeats",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which of these best represents minuet and trio?,Minuet – Trio – Minuet | Minuet – Minuet – Trio | Trio – Minuet – Trio | Minuet – Trio – Coda,Minuet – Trio – Minuet,Minuet – Trio – Minuet,Minuet – Trio – Minuet. (1),"Correct — minuet and trio is a real-world example of ternary form: Minuet, then a contrasting Trio (traditionally scored for fewer players), then the Minuet returns.",ternary|scherzo,,text,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | foundation,active,,audio/SS-MINUET-TRIO.mp3,
SS-MINUET-D,STR-MINUET,Classical Forms,whole-piece-forms,Developing,2,Foundation,multiple_choice_reverse,1,Yes,minuet and trio,Minuet – Trio – Minuet,whole_form,"a Classical-era dance movement in triple time: a minuet, then a contrasting trio (often with fewer instruments), then the minuet repeats",explicit,Recognise and describe standard musical structures/forms.,12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which structure or form is this?,Minuet and trio | Rondo form | Theme and variations | Ternary form,minuet and trio,minuet and trio,minuet and trio. (1),Correct — a stately triple-time dance movement returning after a contrasting trio section is minuet and trio.,ternary|scherzo,,pattern,No,,Yes,structure-spotter | practice-mode | progress-mode | teacher-mode | exam-lab,SS-FORM,structure-spotter | classical | developing,active,,audio/SS-MINUET-TRIO.mp3,
