Question ID,Review Decision,Level,Response Type,Preferred Answer,Correct Choice,Max Marks,Audio,Texture Focus,Prompt,Model Answer,Review Notes
TT001,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,../instrument-identifier/audio/II201.mp3,Monophonic,Name the texture.,The texture is monophonic because the solo flute plays a single unaccompanied melodic line.,
TT007,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT007.mp3,Monophonic,Identify the texture in this extract.,Monophonic: a single unaccompanied melodic line.,
TT008,keep,Foundation,multiple-choice,Monophonic,Monophonic,1,audio/TT008.mp3,Monophonic,Identify the texture in this extract.,Monophonic: a single unaccompanied melodic line.,Audio starts after 2 seconds - Large buzzing sound. Cut audio at the start of clip.
TT009,keep,Developing,multiple-choice,Melody and accompaniment,Melody and accompaniment,1,audio/TT009.mp3,Homophonic,Identify the texture in this extract.,"Homophonic: melody-dominated homophony, or melody and accompaniment.",
TT010,keep,Foundation,multiple-choice,Homorhythmic,Homophonic,1,audio/TT010.mp3,Homophonic,Identify the texture in this extract.,Homophonic/chordal: the parts move together in a mainly chordal rhythm.,
TT011,keep,Developing,multiple-choice,Fugal,Fugal,1,audio/TT011.mp3,Fugal polyphony,Identify the texture in this extract.,Fugal / polyphonic: independent contrapuntal lines overlap as in a fugue.,Audio is pretty nasty. It is also a fugue so that should be included in the answer scheme.
TT012,keep,Securing,multiple-choice,Imitative texture,Imitative texture,1,audio/TT012.mp3,Polyphonic,Identify the texture in this extract.,Polyphonic: several independent instrumental lines overlap in imitation.,
TT013,keep,Securing,short-text,Monophonic then fugal polyphony,Monophonic then fugal polyphony,2,audio/TT013.mp3,Monophonic → polyphonic,Identify the texture at the start of the extract and describe how it changes. (2),"It starts monophonic, with one line presenting the subject. Other entries then overlap, creating a thicker polyphonic / contrapuntal / fugal texture.",This style of 2 mark question needs writing better: Eg. Identify the texture at the start of the extract and describe how it changes. (2)
TT014,keep,Mastering,extended-text,Monophonic then fugal polyphony,Monophonic then fugal polyphony,2,audio/TT014.mp3,Monophonic → polyphonic,Identify the texture at the start of the extract and describe how it changes. (2),"It starts with one part presenting the subject, then other independent imitative lines enter, creating a thicker polyphonic / contrapuntal texture.",Change phrasing of 2 mark question. Do not split questions into 2 parts.
TT015,keep,Mastering,extended-text,Canon,Canon,2,audio/TT015.mp3,Thick homophony → lighter solo texture,Describe two ways the texture changes during the extract. (2),"Award one mark for each valid change, for example: the full ensemble/ritornello texture becomes lighter; a solo violin becomes prominent; fewer parts play; the music changes to melody and accompaniment; answering/imitative figures are introduced.",Audio starts late and crackles before starting.
