Question ID,Audio ID,Composer,Work,Movement / Section,Time Signature,Question,Score Asset Filename,Score Preparation Instruction,Score Link,Score Rights,Score Asset Status,Release Readiness
MMX031,MTR001,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",I. Allegro con brio,3/4,The time signature has been removed from the score. Write the missing time signature. (1),mmx031_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove only the printed time signature.,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX032,MTR002,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",II. Marcia funebre,2/4,Underline the correct time signature for the printed extract. (1),mmx032_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the original time signature and present the four answer options below the score.,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX033,MTR003,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",III. Scherzo,3/4,Describe the metre shown by the score. (2),mmx033_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the rhythmic grouping visible. The printed signature may be removed.,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX034,MTR004,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",IV. Finale,2/4,Explain how the notation confirms the metre. (2),mmx034_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the signature but retain beaming, barlines and enough notes to show the beat grouping.",https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX035,MTR005,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",I. Allegro non troppo,2/2,State two features of rhythm and metre shown by the score. (2),mmx035_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the signature visible because the question assesses broader interpretation, not only recall.",https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX036,MTR006,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",II. Andante moderato,6/8,The time signature has been removed from the score. Write the missing time signature. (1),mmx036_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove only the printed time signature.,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX037,MTR007,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",III. Allegro giocoso,2/4,Underline the correct time signature for the printed extract. (1),mmx037_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the original time signature and present the four answer options below the score.,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX038,MTR008,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",IV. Allegro energico e passionato,3/4,Describe the metre shown by the score. (2),mmx038_score.png,Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the rhythmic grouping visible. The printed signature may be removed.,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX039,MTR009,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",I. Allegro ma non troppo,4/4,Explain how the notation confirms the metre. (2),mmx039_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Remove the signature but retain beaming, barlines and enough notes to show the beat grouping.",https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
MMX040,MTR010,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",II. Lento,6/8,State two features of rhythm and metre shown by the score. (2),mmx040_score.png,"Use 2–4 bars that correspond as closely as possible to the existing audio cut. Use a public-domain edition from the linked score page. Preserve rhythmic grouping and barlines. Keep the signature visible because the question assesses broader interpretation, not only recall.",https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",To crop from linked public-domain score,Uses the existing MTR audio and rights record. Create and verify the listed score crop before release.
