question_id,concept_code,element,subskill,level,level_order,introduced_at_level,question_type,marks,shuffle_options,term,symbol_display,term_type,meaning,cie_status,cie_requirement,cambridge_source_page,source_url,prompt,options,correct_answer,accepted_answers,mark_scheme,feedback,common_confusions,visual_asset,visual_kind,requires_score_context,score_context_template,audio_required,eligible_modes,progress_skill_code,teacher_tags,status,notes
ML-TEM-LARGO-F,TEM-LARGO,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,largo,Largo,tempo_word,broad and very slow,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Largo mean?,broad and very slow | slow | at a walking pace | at a moderate speed,broad and very slow,largo,1 mark for the correct meaning.,Largo means broad and very slow.,adagio|andante,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
ML-TEM-LARGO-D,TEM-LARGO,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,largo,Largo,tempo_word,broad and very slow,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: broad and very slow?,largo | adagio | andante | moderato,largo,largo,1 mark for the correct term or marking.,The correct answer is largo (Largo).,adagio|andante,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-LARGO-S,TEM-LARGO,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,largo,Largo,tempo_word,broad and very slow,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: broad and very slow.,,largo,largo,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: largo.,adagio|andante,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-LARGO-M,TEM-LARGO,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,largo,Largo,tempo_word,broad and very slow,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,largo: broad and very slow,largo,1 mark for identifying largo; 1 mark for a valid description of its effect: broad and very slow.,"For full marks, name the marking and explain its musical effect. Largo: broad and very slow.",adagio|andante,,text,Yes,Show Largo above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-ADAGIO-F,TEM-ADAGIO,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,adagio,Adagio,tempo_word,slow,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Adagio mean?,slow | at a walking pace | broad and very slow | at a moderate speed,slow,adagio,1 mark for the correct meaning.,Adagio means slow.,andante|largo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
ML-TEM-ADAGIO-D,TEM-ADAGIO,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,adagio,Adagio,tempo_word,slow,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: slow?,adagio | andante | largo | moderato,adagio,adagio,1 mark for the correct term or marking.,The correct answer is adagio (Adagio).,andante|largo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-ADAGIO-S,TEM-ADAGIO,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,adagio,Adagio,tempo_word,slow,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: slow.,,adagio,adagio,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: adagio.,andante|largo,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-ADAGIO-M,TEM-ADAGIO,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,adagio,Adagio,tempo_word,slow,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,adagio: slow,adagio,1 mark for identifying adagio; 1 mark for a valid description of its effect: slow.,"For full marks, name the marking and explain its musical effect. Adagio: slow.",andante|largo,,text,Yes,Show Adagio above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-ANDANTE-F,TEM-ANDANTE,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,andante,Andante,tempo_word,at a walking pace,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Andante mean?,at a walking pace | slow | at a moderate speed | broad and very slow,at a walking pace,andante,1 mark for the correct meaning.,Andante means at a walking pace.,adagio|moderato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
ML-TEM-ANDANTE-D,TEM-ANDANTE,Tempo,tempo-markings,Developing,2,Foundation,multiple_choice_reverse,1,Yes,andante,Andante,tempo_word,at a walking pace,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Which term or marking means: at a walking pace?,andante | adagio | moderato | largo,andante,andante,1 mark for the correct term or marking.,The correct answer is andante (Andante).,adagio|moderato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | developing,active,
ML-TEM-ANDANTE-S,TEM-ANDANTE,Tempo,tempo-markings,Securing,3,Foundation,short_answer,1,No,andante,Andante,tempo_word,at a walking pace,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Give the musical term or marking that tells a performer: at a walking pace.,,andante,andante,"1 mark for a correct term, accepted abbreviation or recognised equivalent listed in accepted_answers.",Use the precise musical term: andante.,adagio|moderato,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | securing,active,
ML-TEM-ANDANTE-M,TEM-ANDANTE,Tempo,tempo-markings,Mastering,4,Foundation,exam_style_short_answer,2,No,andante,Andante,tempo_word,at a walking pace,explicit,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,Look at the marking in the score. Name it and state how it affects the tempo.,,andante: at a walking pace,andante,1 mark for identifying andante; 1 mark for a valid description of its effect: at a walking pace.,"For full marks, name the marking and explain its musical effect. Andante: at a walking pace.",adagio|moderato,,text,Yes,Show Andante above a short two-bar phrase.,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | mastering,active,Mastering rows require score/symbol assets before production.
ML-TEM-MODERATO-F,TEM-MODERATO,Tempo,tempo-markings,Foundation,1,Foundation,multiple_choice,1,Yes,moderato,Moderato,tempo_word,at a moderate speed,implicit-common,"Recognise common Italian tempo markings, changes in tempo and BPM.",12,https://www.cambridgeinternational.org/Images/694052-2026-2028-syllabus.pdf,What does Moderato mean?,at a moderate speed | at a walking pace | moderately fast; a little slower than allegro | broad and very slow,at a moderate speed,moderato,1 mark for the correct meaning.,Moderato means at a moderate speed.,andante|allegretto,,text,No,,No,musical-language | practice-mode | progress-mode | teacher-mode | exam-lab,ML-TEMPO,musical-language | tempo | foundation,active,
