clip_id,type,level,composer,period,work,movement,audio_path,prompt,correct_answer,options,has_option_override,status
CLIP-0024FF2C50EC,composer,Foundation,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II192.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-0024FF2C50EC,period,Foundation,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II192.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-00851AB26D00,composer,Developing,Ludwig van Beethoven,Classical,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",III. Scherzo,/modules/melody-master/audio/melodic-devices/MDA011.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Franz Schubert | Tomaso Albinoni | Josef Suk,yes,Currently live in Context Coach
CLIP-00851AB26D00,period,Developing,Ludwig van Beethoven,Classical,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",III. Scherzo,/modules/melody-master/audio/melodic-devices/MDA011.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-016C95D89DFA,composer,Developing,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II191.mp3,Who composed this extract?,Johann Sebastian Bach,Johann Sebastian Bach | Ludwig van Beethoven | Claude Debussy | Robert Schumann,no,Currently live in Context Coach
CLIP-016C95D89DFA,period,Foundation,Johann Sebastian Bach,Baroque,Flute Sonata BWV 1034,,/modules/instrument-identifier/audio/II191.mp3,Which musical period is this extract from?,Baroque,Baroque | Classical | Renaissance | 20th Century,no,Currently live in Context Coach
CLIP-01F7D108527F,composer,Securing,Ludwig van Beethoven,Classical,"Violin Sonata No. 9 ""Kreutzer""",,/modules/instrument-identifier/audio/II003.mp3,Who composed this extract?,Ludwig van Beethoven,Ludwig van Beethoven | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-05DDF4C12254,composer,Mastering,Claude Debussy,20th Century,Cello Sonata (2) Serenade,,/modules/instrument-identifier/audio/II062.mp3,Who composed this extract?,Claude Debussy,Ludwig van Beethoven | Claude Debussy | Antonio Vivaldi | Muzio Clementi,yes,Currently live in Context Coach
CLIP-05DDF4C12254,period,Securing,Claude Debussy,20th Century,Cello Sonata (2) Serenade,,/modules/instrument-identifier/audio/II062.mp3,Which musical period is this extract from?,20th Century,20th Century | Baroque | Renaissance | Romantic,no,Currently live in Context Coach
CLIP-09909E131C8A,composer,Developing,Wolfgang Amadeus Mozart,Classical,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,/modules/melody-master/questions/mm003/MM003-audio.mp3,Who composed this extract?,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart | Felix Mendelssohn | Claude Debussy | George Frideric Handel,no,Currently live in Context Coach
CLIP-09909E131C8A,period,Developing,Wolfgang Amadeus Mozart,Classical,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,/modules/melody-master/questions/mm003/MM003-audio.mp3,Which musical period is this extract from?,Classical,Classical | Baroque | Renaissance | 20th Century,no,Currently live in Context Coach
